"","School_Dis_Name","School_Dis_Code","STATE","County_Name","State_County_Code","ENROLL","YRDATA","TOTAL_REVENUE","FEDERAL_REVENUE","STATE_REVENUE","LOCAL_REVENUE","TOTAL_EXPENDITURE","INSTRUCTION_EXPENDITURE","SUPPORT_SERVICES_EXPENDITURE","OTHER_EXPENDITURE","CAPITAL_OUTLAY_EXPENDITURE","SNAP"
"15061","lamoille north supervisory union",NA,"Vermont",NA,NA,0,2013,3958,2158,77,1723,1909,39,1764,78,28,NA
"15062","lamoille south supervisory union",NA,"Vermont",NA,NA,0,2013,3827,1497,164,2166,2582,378,2154,0,50,NA
"15063","lamoille union high sch dist 18",NA,"Vermont",NA,NA,798,2013,19635,152,17028,2455,18709,10134,5486,158,864,NA
"15064","braintree town sch dist",NA,"Vermont",NA,NA,70,2013,1467,40,1375,52,1439,686,420,6,111,NA
"15065","brookfield town sch dist",NA,"Vermont",NA,NA,75,2013,1471,40,1372,59,1522,716,440,2,139,NA
"15066","chelsea town sch dist",NA,"Vermont",NA,NA,151,2013,3218,61,2664,493,3409,1368,1150,119,126,NA
"15067","newbury town sch dist",NA,"Vermont",NA,NA,130,2013,2319,62,2152,105,2291,1360,672,82,33,NA
"15068","orange center town sch dist",NA,"Vermont",NA,NA,152,2013,2705,10,2653,42,2721,729,1090,3,15,NA
"15069","randolph town sch dist",NA,"Vermont",NA,NA,307,2013,4638,40,4421,177,4509,2425,1088,20,217,NA
"15070","strafford town sch dist",NA,"Vermont",NA,NA,185,2013,2947,41,2829,77,3106,1407,664,90,119,NA
"15071","thetford town sch dist",NA,"Vermont",NA,NA,416,2013,7564,120,7390,54,7893,6169,1073,100,71,NA
"15072","tunbridge central sch dist",NA,"Vermont",NA,NA,181,2013,2914,62,2782,70,3160,1102,648,90,12,NA
"15073","washington village school dist",NA,"Vermont",NA,NA,135,2013,2048,2,2012,34,2040,617,875,9,8,NA
"15074","williamstown town school dist",NA,"Vermont",NA,NA,542,2013,8662,20,8478,164,8293,3092,3944,0,55,NA
"15075","blue mt unifield school district 21",NA,"Vermont",NA,NA,437,2013,7841,517,6887,437,7582,4282,2843,250,125,NA
"15076","rivendell interstate school district","33009","Vermont","Grafton County","33_009",474,2013,10133,517,5947,3669,9507,5498,3277,238,183," 7,105 "
"15077","rivendell interstate school district","00024","Vermont","Orange County","50_017",474,2013,10133,517,5947,3669,9507,5498,3277,238,183," 4,462 "
"15078","orange east supervisory union",NA,"Vermont",NA,NA,0,2013,3441,1903,116,1422,2241,907,1297,17,20,NA
"15079","orange southwest supervisory union",NA,"Vermont",NA,NA,0,2013,4804,828,143,3833,4568,921,2951,507,189,NA
"15080","bradford inc sch dist",NA,"Vermont",NA,NA,242,2013,3553,134,3129,290,3548,2037,926,201,83,NA
"15081","randolph union high sch dist 2",NA,"Vermont",NA,NA,425,2013,10625,73,9189,1363,10429,5551,2129,224,258,NA
"15082","union school dist 36",NA,"Vermont",NA,NA,350,2013,5706,11,5553,142,5860,2835,1323,118,316,NA
"15083","oxbow union high school dist 30",NA,"Vermont",NA,NA,328,2013,9645,220,7223,2202,9212,4902,3069,310,221,NA
"15084","barton incorp sch dist",NA,"Vermont",NA,NA,192,2013,2441,8,2310,123,2804,1547,696,144,34,NA
"15085","orleans incorp sch dist",NA,"Vermont",NA,NA,101,2013,1730,5,1540,185,1770,964,423,88,6,NA
"15086","albany town sch dist",NA,"Vermont",NA,NA,94,2013,1751,4,1695,52,1793,1009,435,86,15,NA
"15087","brownington central sch dist",NA,"Vermont",NA,NA,111,2013,1345,4,1295,46,1485,767,430,91,21,NA
"15088","charleston town sch dist",NA,"Vermont",NA,NA,108,2013,1575,0,1536,39,1721,1035,438,65,0,NA
"15089","coventry village sch dist",NA,"Vermont",NA,NA,160,2013,2437,36,2369,32,2628,1109,518,88,92,NA
"15090","craftsbury town sch dist",NA,"Vermont",NA,NA,142,2013,3563,4,3108,451,4524,1368,975,72,1302,NA
"15091","derby town sch dist",NA,"Vermont",NA,NA,363,2013,5630,6,5070,554,5760,3168,1917,217,144,NA
"15092","glover town sch dist",NA,"Vermont",NA,NA,134,2013,2040,4,1969,67,1938,1029,516,86,36,NA
"15093","lakeview union sch dist 43",NA,"Vermont",NA,NA,67,2013,1384,2,1356,26,1405,553,432,58,18,NA
"15094","holland town sch dist",NA,"Vermont",NA,NA,66,2013,990,0,969,21,1000,539,331,60,12,NA
"15095","irasburg village sch dist",NA,"Vermont",NA,NA,137,2013,1726,5,1672,49,1869,1048,493,82,32,NA
"15096","jay village sch dist",NA,"Vermont",NA,NA,61,2013,814,22,792,0,802,5,36,0,0,NA
"15097","lowell village sch dist",NA,"Vermont",NA,NA,111,2013,1573,1,1554,18,1649,1023,408,75,22,NA
"15098","morgan town sch dist",NA,"Vermont",NA,NA,39,2013,595,0,572,23,913,380,140,0,0,NA
"15099","newport city schs",NA,"Vermont",NA,NA,347,2013,5052,164,4847,41,5142,2977,1479,186,44,NA
"15100","newport town sch dist",NA,"Vermont",NA,NA,131,2013,2730,30,2616,84,2605,1292,787,0,3,NA
"15101","troy town sch dist",NA,"Vermont",NA,NA,156,2013,2627,0,2498,129,2840,1634,987,120,29,NA
"15102","westfield community sch dist",NA,"Vermont",NA,NA,44,2013,630,9,620,1,636,1,3,0,0,NA
"15103","westmore town sch dist",NA,"Vermont",NA,NA,26,2013,282,0,281,1,331,29,55,0,0,NA
"15104","greensboro school district",NA,"Vermont",NA,NA,8,2013,45,0,45,0,29,0,3,0,0,NA
"15105","jay/westfield jt elemtary dist",NA,"Vermont",NA,NA,97,2013,1313,3,62,1248,1312,785,422,49,8,NA
