"","School_Dis_Name","School_Dis_Code","STATE","County_Name","State_County_Code","ENROLL","YRDATA","TOTAL_REVENUE","FEDERAL_REVENUE","STATE_REVENUE","LOCAL_REVENUE","TOTAL_EXPENDITURE","INSTRUCTION_EXPENDITURE","SUPPORT_SERVICES_EXPENDITURE","OTHER_EXPENDITURE","CAPITAL_OUTLAY_EXPENDITURE","SNAP"
"9905","andover reg sch dist",NA,"New Jersey",NA,NA,566,2013,16315,250,3524,12541,16426,6742,4801,7,325,NA
"9906","byram twp sch dist",NA,"New Jersey",NA,NA,960,2013,16527,339,4776,11412,15877,9346,5607,255,131,NA
"9907","frankford twp sch dist",NA,"New Jersey",NA,NA,540,2013,11983,264,3156,8563,12343,7880,3407,185,567,NA
"9908","franklin boro sch dist",NA,"New Jersey",NA,NA,490,2013,9252,443,4068,4741,9379,5510,3260,255,43,NA
"9909","fredon twp sch dist",NA,"New Jersey",NA,NA,323,2013,5708,143,1051,4514,5692,3070,2114,86,133,NA
"9910","green twp sch dist",NA,"New Jersey",NA,NA,485,2013,11446,251,2676,8519,11335,5086,3071,224,184,NA
"9911","hamburg borough school district","06480","New Jersey","Sussex County","34_037",275,2013,6198,175,1996,4027,6007,3486,1961,97,251," 5,427 "
"9912","hampton twp sch dist",NA,"New Jersey",NA,NA,346,2013,7194,216,2017,4961,7197,4564,2328,182,13,NA
"9913","hardyston twp sch dist",NA,"New Jersey",NA,NA,758,2013,13075,280,3062,9733,12762,7300,4561,179,119,NA
"9914","lafayette twp sch dist",NA,"New Jersey",NA,NA,253,2013,5439,138,1117,4184,5189,2862,1646,164,38,NA
"9915","montague twp sch dist",NA,"New Jersey",NA,NA,264,2013,9607,637,3306,5664,9786,5154,2914,107,163,NA
"9916","newton town sch dist",NA,"New Jersey",NA,NA,1361,2013,28667,920,8425,19322,29656,17184,9474,805,1568,NA
"9917","ogdensburg boro sch dist",NA,"New Jersey",NA,NA,306,2013,5159,152,2543,2464,5244,2980,2042,85,111,NA
"9918","sandyston-walpack school dist",NA,"New Jersey",NA,NA,149,2013,3441,713,783,1945,3021,1869,1107,18,9,NA
"9919","sparta twp sch dist",NA,"New Jersey",NA,NA,3367,2013,69308,1265,12099,55944,70412,39569,22933,1323,1525,NA
"9920","stanhope boro sch dist",NA,"New Jersey",NA,NA,356,2013,6223,171,1897,4155,6179,3300,2249,103,159,NA
"9921","stillwater twp sch dist",NA,"New Jersey",NA,NA,352,2013,6744,157,2437,4150,6785,4173,2325,130,146,NA
"9922","vernon twp sch dist",NA,"New Jersey",NA,NA,3630,2013,78317,1658,32766,43893,80998,45450,29007,1151,3691,NA
"9923","sussex wantage regional school dist",NA,"New Jersey",NA,NA,1310,2013,26396,1047,9773,15576,26266,15757,8963,572,781,NA
"9924","sussex co educ serv comm",NA,"New Jersey",NA,NA,0,2013,4093,30,179,3884,4982,2096,1467,0,1419,NA
"9925","high pt regional dist",NA,"New Jersey",NA,NA,1009,2013,27913,414,9112,18387,26777,15081,9389,354,1121,NA
"9926","hopatcong school dist",NA,"New Jersey",NA,NA,1902,2013,60925,1329,14600,44996,61229,22298,15332,20626,1583,NA
"9927","kittatinny regional sch dist",NA,"New Jersey",NA,NA,1103,2013,22490,560,7843,14087,22975,14051,7565,464,551,NA
"9928","lenape valley regional high sch dist",NA,"New Jersey",NA,NA,778,2013,16104,291,5675,10138,16040,9136,5979,202,421,NA
"9929","wallkill valley regional high sch dist",NA,"New Jersey",NA,NA,695,2013,15706,302,5814,9590,15767,9196,4952,244,273,NA
"9930","berkeley heights sch dist",NA,"New Jersey",NA,NA,2739,2013,49918,555,6665,42698,50755,30650,16230,797,823,NA
"9931","clark twp school dist",NA,"New Jersey",NA,NA,2299,2013,39213,814,4802,33597,37573,22270,12257,1355,215,NA
"9932","cranford twp sch dist",NA,"New Jersey",NA,NA,3885,2013,63442,1336,8780,53326,66374,39437,22982,853,1012,NA
"9933","garwood boro sch dist",NA,"New Jersey",NA,NA,389,2013,8646,197,992,7457,8752,3184,2188,99,11,NA
"9934","hillside twp sch dist",NA,"New Jersey",NA,NA,3011,2013,58011,3011,27619,27381,59148,33956,18898,1498,2335,NA
"9935","kenilworth boro sch dist",NA,"New Jersey",NA,NA,1375,2013,25299,646,6911,17742,25345,15513,6817,647,140,NA
"9936","mountainside boro school dist",NA,"New Jersey",NA,NA,777,2013,16368,234,1596,14538,16049,6665,4574,171,6,NA
"9937","new providence boro sch dist",NA,"New Jersey",NA,NA,2265,2013,39051,603,4961,33487,39012,23595,12113,817,340,NA
"9938","roselle boro sch dist",NA,"New Jersey",NA,NA,2677,2013,57474,4011,29005,24458,59555,33925,16034,2198,4581,NA
"9939","roselle park boro sch dist",NA,"New Jersey",NA,NA,1966,2013,34635,1334,13793,19508,34997,20752,11692,1154,23,NA
"9940","scotch plains fanwood reg school dist",NA,"New Jersey",NA,NA,5490,2013,92365,1900,11221,79244,91228,53727,27830,1901,2439,NA
"9941","springfield twp sch dist",NA,"New Jersey",NA,NA,2231,2013,41170,655,4681,35834,40295,23540,13134,1422,520,NA
"9942","union twp sch dist",NA,"New Jersey",NA,NA,7510,2013,131300,4507,43434,83359,140071,75493,41453,3041,11744,NA
"9943","westfield town sch dist",NA,"New Jersey",NA,NA,6315,2013,105063,1935,14105,89023,108836,65538,33824,1738,3635,NA
"9944","winfield twp sch dist",NA,"New Jersey",NA,NA,158,2013,3536,77,1914,1545,3560,1886,1218,55,46,NA
"9945","union co educ serv comm",NA,"New Jersey",NA,NA,0,2013,45780,142,2082,43556,46124,18109,26964,172,681,NA
"9946","elizabeth city school district","04590","New Jersey","Union County","34_039",23988,2013,532085,33283,446527,52275,547656,298805,198371,26764,3555," 46,939 "
"9947","plainfield school district","03270","New Jersey","Windham County","09_015",6757,2013,192230,10578,155343,26309,186368,96181,57042,21051,5569," 18,199 "
"9948","plainfield school district","05760","New Jersey","Sullivan County","33_019",6757,2013,192230,10578,155343,26309,186368,96181,57042,21051,5569," 5,095 "
"9949","rahway school dist",NA,"New Jersey",NA,NA,3717,2013,70367,3267,27735,39365,76849,42439,21626,1782,5944,NA
"9950","linden city school dist",NA,"New Jersey",NA,NA,5994,2013,120588,6051,33247,81290,119659,69873,36999,3077,4731,NA
"9951","allamuchy twp sch dist",NA,"New Jersey",NA,NA,437,2013,10257,501,1150,8606,10067,4121,3226,262,392,NA
"9952","alpha boro sch dist",NA,"New Jersey",NA,NA,257,2013,5483,196,2288,2999,5691,2854,1479,85,2,NA
"9953","belvidere town sch dist",NA,"New Jersey",NA,NA,772,2013,12749,259,4166,8324,13503,8072,4894,228,233,NA
"9954","blairstown twp sch dist",NA,"New Jersey",NA,NA,554,2013,9657,267,2803,6587,9919,5900,3673,115,182,NA
"9955","franklin twp sch dist",NA,"New Jersey",NA,NA,270,2013,5700,134,1351,4215,5459,3259,1962,110,8,NA
"9956","frelinghuysen sch dist",NA,"New Jersey",NA,NA,152,2013,2987,79,936,1972,2959,1770,1064,57,0,NA
"9957","greenwich twp sch dist",NA,"New Jersey",NA,NA,855,2013,16520,291,7585,8644,15809,7071,3730,363,131,NA
"9958","hackettstown sch dist",NA,"New Jersey",NA,NA,1842,2013,32492,795,8640,23057,32072,19133,11023,508,1012,NA
"9959","harmony twp sch dist",NA,"New Jersey",NA,NA,271,2013,6950,162,811,5977,6945,3141,1929,75,29,NA
"9960","hope twp sch dist",NA,"New Jersey",NA,NA,190,2013,5168,125,1221,3822,4913,1874,1588,211,18,NA
"9961","knowlton twp sch dist",NA,"New Jersey",NA,NA,244,2013,4735,164,1836,2735,4876,2994,1578,71,218,NA
"9962","lopatcong twp sch dist",NA,"New Jersey",NA,NA,870,2013,18198,355,4928,12915,17952,8733,4292,331,38,NA
"9963","mansfield twp sch dist",NA,"New Jersey",NA,NA,691,2013,10499,411,4597,5491,10134,6562,2906,298,250,NA
"9964","oxford twp sch dist",NA,"New Jersey",NA,NA,304,2013,6975,156,3029,3790,6701,2879,1849,88,41,NA
"9965","pohatcong twp sch dist",NA,"New Jersey",NA,NA,349,2013,8879,207,2461,6211,8303,3622,2115,283,133,NA
"9966","washington boro sch dist",NA,"New Jersey",NA,NA,536,2013,8362,425,3526,4411,8703,5597,2762,175,22,NA
"9967","washington twp sch dist",NA,"New Jersey",NA,NA,571,2013,9632,312,3598,5722,10244,5759,3732,235,239,NA
"9968","white twp school district",NA,"New Jersey",NA,NA,333,2013,9570,235,2336,6999,8630,3826,2492,79,3,NA
"9969","great meadows regional school district","00008","New Jersey","Warren County","34_041",849,2013,20790,408,7315,13067,20599,8769,5042,216,230," 7,748 "
"9970","north warren reg sch dist",NA,"New Jersey",NA,NA,993,2013,17499,388,6552,10559,18727,10899,5967,302,747,NA
"9971","phillipsburg town school dist",NA,"New Jersey",NA,NA,3667,2013,73333,4248,47967,21118,72983,43591,24896,3035,691,NA
"9972","warren hills regional school dist",NA,"New Jersey",NA,NA,1862,2013,37432,699,13502,23231,35920,19790,11765,508,1210,NA
"9973","albuquerque sch dist",NA,"New Mexico",NA,NA,94083,2013,964205,106368,682462,175375,952320,480829,282167,34397,133258,NA
"9974","reserve ind school district",NA,"New Mexico",NA,NA,156,2013,2830,966,1799,65,2941,1553,1263,94,31,NA
"9975","quemado ind school district",NA,"New Mexico",NA,NA,157,2013,3116,895,1799,422,2883,1300,1346,109,62,NA
"9976","dexter school district",NA,"New Mexico",NA,NA,978,2013,11504,1418,8566,1520,11659,5566,3942,754,1239,NA
"9977","hagerman school district",NA,"New Mexico",NA,NA,441,2013,5352,772,4269,311,5161,2859,1802,233,140,NA
"9978","lake arthur school district",NA,"New Mexico",NA,NA,147,2013,3197,133,2224,840,4631,1502,1223,129,1596,NA
"9979","roswell independent schools","02250","New Mexico","Chaves County","35_005",10261,2013,102824,14339,79876,8609,101703,48249,28900,5602,17545," 15,016 "
"9980","cimarron school district",NA,"New Mexico",NA,NA,438,2013,6945,462,5050,1433,8613,3009,2280,204,2828,NA
"9981","maxwell school district",NA,"New Mexico",NA,NA,107,2013,2023,126,1761,136,1972,1107,750,69,45,NA
"9982","raton school district",NA,"New Mexico",NA,NA,1158,2013,11572,1015,9648,909,11962,6869,4034,516,452,NA
"9983","springer school district",NA,"New Mexico",NA,NA,190,2013,3631,362,2605,664,3742,1708,1357,164,402,NA
"9984","clovis school district",NA,"New Mexico",NA,NA,8722,2013,75807,11920,57240,6647,84078,39111,24394,2828,17006,NA
"9985","grady school district 61",NA,"New Mexico",NA,NA,98,2013,2227,119,1962,146,2164,1150,837,81,72,NA
"9986","melrose school district","07620","New Mexico","Middlesex County","25_017",214,2013,3361,237,2715,409,3512,1685,1322,107,362," 118,364 "
"9987","texico school district",NA,"New Mexico",NA,NA,561,2013,6637,375,5153,1109,6385,3816,1931,174,349,NA
"9988","ft sumner school district",NA,"New Mexico",NA,NA,291,2013,5104,434,3892,778,5213,2406,2036,156,561,NA
"9989","gadsden school district",NA,"New Mexico",NA,NA,13957,2013,153090,27553,108662,16875,140302,74235,42642,8452,13872,NA
"9990","hatch school district",NA,"New Mexico",NA,NA,1321,2013,15075,3045,10709,1321,15163,7559,5135,952,1403,NA
"9991","las cruces school district",NA,"New Mexico",NA,NA,25384,2013,252821,31950,182840,38031,259773,128367,75557,10679,39872,NA
"9992","artesia sch dist",NA,"New Mexico",NA,NA,3638,2013,49305,3101,25856,20348,43195,19798,11074,1531,10773,NA
"9993","carlsbad school district",NA,"New Mexico",NA,NA,6280,2013,69053,6075,48453,14525,69110,33521,20193,3709,11237,NA
"9994","loving school district",NA,"New Mexico",NA,NA,648,2013,7616,983,5514,1119,7145,3464,2450,489,462,NA
"9995","cobre consolidated school district",NA,"New Mexico",NA,NA,1297,2013,16873,2145,13053,1675,18002,8024,6785,742,2185,NA
"9996","silver consolidated school district",NA,"New Mexico",NA,NA,3077,2013,30757,3411,23594,3752,30050,15465,11102,1241,1956,NA
"9997","santa rosa consolidated school district",NA,"New Mexico",NA,NA,634,2013,8164,924,6204,1036,9452,3888,3382,528,1481,NA
"9998","vaughn school district",NA,"New Mexico",NA,NA,105,2013,2403,127,1834,442,2305,1160,863,103,142,NA
"9999","mosquero school district",NA,"New Mexico",NA,NA,42,2013,1792,50,1191,551,3663,611,824,64,2047,NA
"10000","roy school district",NA,"New Mexico",NA,NA,40,2013,853,42,618,193,1505,818,597,49,32,NA
"10001","lordsburg school district",NA,"New Mexico",NA,NA,521,2013,8006,912,5633,1461,9176,3433,3291,316,2005,NA
"10002","animas school district",NA,"New Mexico",NA,NA,191,2013,3286,257,2867,162,3296,1566,1436,78,211,NA
"10003","hobbs school district",NA,"New Mexico",NA,NA,9078,2013,82886,7112,59801,15973,79442,41757,20786,3538,11112,NA
"10004","eunice public school district",NA,"New Mexico",NA,NA,634,2013,12208,484,5050,6674,15546,4092,2235,301,7731,NA
"10005","jal public school municipal district",NA,"New Mexico",NA,NA,414,2013,4960,255,3470,1235,4824,2422,1637,209,512,NA
"10006","lovington school district",NA,"New Mexico",NA,NA,3568,2013,36377,2952,27291,6134,35399,18180,10507,1372,4726,NA
"10007","tatum school district",NA,"New Mexico",NA,NA,331,2013,4791,352,3538,901,4983,2473,1466,169,757,NA
"10008","capitan school district",NA,"New Mexico",NA,NA,480,2013,6566,522,4341,1703,6573,2963,2011,208,1228,NA
"10009","carrizozo school district",NA,"New Mexico",NA,NA,139,2013,2749,242,2085,422,2631,1277,916,90,241,NA
"10010","corona school district",NA,"New Mexico",NA,NA,75,2013,2054,110,1674,270,2156,922,929,58,217,NA
"10011","hondo valley school district",NA,"New Mexico",NA,NA,146,2013,2751,228,2107,416,2909,1350,988,145,365,NA
"10012","ruidoso school district",NA,"New Mexico",NA,NA,2098,2013,23713,2898,15092,5723,26787,10700,7523,950,6319,NA
"10013","los alamos school district",NA,"New Mexico",NA,NA,3534,2013,45180,9404,25950,9826,53387,21964,14989,373,15120,NA
"10014","deming school district",NA,"New Mexico",NA,NA,5477,2013,58322,12975,39418,5929,54474,29492,19125,2999,2398,NA
"10015","gallup-mckinley county schools","01110","New Mexico","McKinley County","35_031",12033,2013,137343,58052,66329,12962,131129,68413,47254,5516,8114," 25,719 "
"10016","zuni school district",NA,"New Mexico",NA,NA,1280,2013,18048,10717,6329,1002,17357,8259,7676,912,478,NA
"10017","mora ind school district",NA,"New Mexico",NA,NA,488,2013,8204,2243,5277,684,8181,3467,3910,357,374,NA
"10018","wagon mound school district 12",NA,"New Mexico",NA,NA,75,2013,2353,212,1912,229,3258,979,1075,77,1053,NA
"10019","alamogordo sch dist",NA,"New Mexico",NA,NA,6154,2013,59432,9805,42564,7063,58699,27607,21130,2812,6372,NA
"10020","cloudcroft school district",NA,"New Mexico",NA,NA,376,2013,5515,334,3998,1183,5064,2298,1852,137,548,NA
"10021","tularosa school district",NA,"New Mexico",NA,NA,900,2013,11488,2769,7643,1076,12447,5807,3895,449,2131,NA
"10022","san jon school district",NA,"New Mexico",NA,NA,132,2013,1991,134,1612,245,2053,993,885,94,45,NA
"10023","tucumcari public schools","02640","New Mexico","Quay County","35_037",1035,2013,11462,1798,8612,1052,11245,5798,3828,589,900," 2,354 "
"10024","house municipal schools","01320","New Mexico","Quay County","35_037",63,2013,1861,89,1651,121,2025,989,747,46,223," 2,354 "
"10025","house municipal schools","01320","New Mexico","Roosevelt County","35_041",63,2013,1861,89,1651,121,2025,989,747,46,223," 3,334 "
"10026","logan municipal schools","01590","New Mexico","Harding County","35_021",278,2013,4156,221,3464,471,3941,1926,1405,135,365," 33 "
"10027","logan municipal schools","01590","New Mexico","Quay County","35_037",278,2013,4156,221,3464,471,3941,1926,1405,135,365," 2,354 "
"10028","espanola school district 45",NA,"New Mexico",NA,NA,4080,2013,45327,8353,33286,3688,52898,21926,16836,2288,11360,NA
"10029","dulce ind school district",NA,"New Mexico",NA,NA,711,2013,14184,5363,4182,4639,13194,4861,4192,477,2196,NA
"10030","chama valley school district",NA,"New Mexico",NA,NA,379,2013,7632,1112,4978,1542,6371,2780,2740,273,350,NA
"10031","jemez mountain school district",NA,"New Mexico",NA,NA,303,2013,6552,1189,3877,1486,5736,2088,2767,200,626,NA
"10032","elida school district",NA,"New Mexico",NA,NA,133,2013,2469,66,1777,626,2908,1210,815,113,764,NA
"10033","portales school district",NA,"New Mexico",NA,NA,2940,2013,29438,3588,22212,3638,29282,15680,10057,1406,1811,NA
"10034","floyd school district",NA,"New Mexico",NA,NA,238,2013,3079,304,2589,186,3175,1772,1014,147,230,NA
"10035","dora schools district",NA,"New Mexico",NA,NA,231,2013,3623,322,2921,380,3450,1937,1268,132,102,NA
"10036","bernalillo school district",NA,"New Mexico",NA,NA,3149,2013,38888,8723,23425,6740,39989,19455,13097,1867,4558,NA
"10037","cuba ind school district 20",NA,"New Mexico",NA,NA,554,2013,9811,2931,5845,1035,9603,4202,4358,389,518,NA
"10038","rio rancho public schools","00010","New Mexico","Sandoval County","35_043",16884,2013,151491,7531,111678,32282,154106,79067,45640,6360,18433," 21,738 "
"10039","jemez valley school district",NA,"New Mexico",NA,NA,449,2013,8609,2492,4832,1285,8262,3633,3442,374,620,NA
"10040","aztec school district",NA,"New Mexico",NA,NA,3383,2013,33526,2455,24039,7032,31949,15503,10007,1218,3742,NA
"10041","bloomfield school district","00330","New Mexico","Hartford County","09_003",2999,2013,33881,4396,21610,7875,30708,14677,10426,1471,1715," 136,729 "
"10042","bloomfield school district","00600","New Mexico","Greene County","18_055",2999,2013,33881,4396,21610,7875,30708,14677,10426,1471,1715," 4,702 "
"10043","bloomfield school district","02280","New Mexico","Essex County","50_009",2999,2013,33881,4396,21610,7875,30708,14677,10426,1471,1715," 1,393 "
"10044","farmington school district 5",NA,"New Mexico",NA,NA,11222,2013,102741,11481,74162,17098,107313,53227,29869,4067,18798,NA
"10045","central consolidated school district",NA,"New Mexico",NA,NA,6368,2013,82311,36110,33590,12611,81072,39976,26826,4033,8805,NA
"10046","las vegas city school district",NA,"New Mexico",NA,NA,1818,2013,21517,2807,15132,3578,21220,9225,8161,713,2694,NA
"10047","las vegas west school district",NA,"New Mexico",NA,NA,1620,2013,21968,4509,15051,2408,21632,9705,8814,1203,1582,NA
"10048","pecos ind school district",NA,"New Mexico",NA,NA,642,2013,8532,1675,6110,747,8452,3926,3691,436,390,NA
"10049","santa fe city school district",NA,"New Mexico",NA,NA,14304,2013,175535,16243,101212,58080,195575,75567,45788,6048,63622,NA
"10050","pojoaque valley school district",NA,"New Mexico",NA,NA,1927,2013,20837,3966,13777,3094,21566,9618,8767,1136,1836,NA
"10051","truth or consequences",NA,"New Mexico",NA,NA,1354,2013,16121,2515,10883,2723,14666,7754,5141,686,962,NA
"10052","magdalena school district 12",NA,"New Mexico",NA,NA,355,2013,6727,1604,4085,1038,6654,3774,2456,203,160,NA
"10053","socorro consolidated school district",NA,"New Mexico",NA,NA,1921,2013,22218,3407,15267,3544,21368,10674,7358,1021,1609,NA
"10054","penasco ind school district",NA,"New Mexico",NA,NA,421,2013,7006,1342,5281,383,6573,2972,2903,324,267,NA
"10055","taos municipal school district",NA,"New Mexico",NA,NA,2948,2013,33664,4338,23523,5803,35069,16188,10431,1760,5580,NA
"10056","mesa vista consolidated school district",NA,"New Mexico",NA,NA,401,2013,5936,534,4317,1085,6105,2623,2570,227,621,NA
"10057","questa school district",NA,"New Mexico",NA,NA,434,2013,8578,2583,4887,1108,10085,3260,3931,261,2462,NA
"10058","estancia municipal school district",NA,"New Mexico",NA,NA,819,2013,9961,1130,8048,783,10284,4794,3751,392,1261,NA
"10059","moriarty school district 8",NA,"New Mexico",NA,NA,2911,2013,32621,2995,23276,6350,30288,14505,11407,1367,2257,NA
"10060","mountainair school district",NA,"New Mexico",NA,NA,281,2013,4469,510,3514,445,4415,1993,2107,159,110,NA
"10061","clayton school district","09720","New Mexico","St. Louis County","29_189",511,2013,7020,502,5758,760,6996,3265,3026,243,462," 114,526 "
"10062","clayton school district","02580","New Mexico","Barron County","55_005",511,2013,7020,502,5758,760,6996,3265,3026,243,462," 7,419 "
"10063","clayton school district","02580","New Mexico","Polk County","55_095",511,2013,7020,502,5758,760,6996,3265,3026,243,462," 5,163 "
"10064","des moines school district",NA,"New Mexico",NA,NA,86,2013,2417,173,1908,336,2610,955,881,88,676,NA
"10065","belen school district",NA,"New Mexico",NA,NA,4363,2013,41883,5405,31454,5024,44539,20043,17573,2411,3653,NA
"10066","los lunas school district",NA,"New Mexico",NA,NA,8399,2013,81308,10841,58595,11872,81014,37325,28282,3801,10249,NA
"10067","grants-cibola county schools","01170","New Mexico","Cibola County","35_006",3746,2013,42902,11399,27546,3957,41833,20881,14432,1950,4041," 8,188 "
"10068","buffalo city sch dist",NA,"New York",NA,NA,32762,2013,910087,104880,677857,127350,919509,501725,220616,30038,105116,NA
"10069","rochester city sch dist",NA,"New York",NA,NA,30145,2013,714523,92927,497666,123930,790024,394171,247688,25600,106021,NA
"10070","new york city school district",NA,"New York",NA,NA,989391,2013,23438719,1780098,8635858,13022763,24974898,17247757,4381507,649483,2187904,NA
"10071","syracuse city sch dist",NA,"New York",NA,NA,20622,2013,441343,64410,310039,66894,453002,259470,108067,19624,54655,NA
"10072","yonkers city sch dist",NA,"New York",NA,NA,25529,2013,506211,37159,274949,194103,532892,336858,156931,9955,17208,NA
"10073","berne knox-westerlo central sch dist",NA,"New York",NA,NA,925,2013,20435,657,9698,10080,20586,11913,6699,359,1372,NA
"10074","bethlehem central sch",NA,"New York",NA,NA,4874,2013,89372,1834,28862,58676,80580,47130,27192,1435,1709,NA
"10075","ravena coeymans selkirk central sch dist",NA,"New York",NA,NA,2017,2013,43702,1861,17471,24370,39294,25456,11888,769,614,NA
"10076","cohoes city sch dist",NA,"New York",NA,NA,1885,2013,40316,2601,23381,14334,35376,21507,10023,1368,1434,NA
"10077","south colonie central sch dist",NA,"New York",NA,NA,5106,2013,92015,2698,28359,60958,91089,61400,24638,2790,1012,NA
"10078","north colonie central school district","00971","New York","Albany County","36_001",5429,2013,95982,2900,22819,70263,92099,56617,29449,2537,2551," 36,979 "
"10079","menands union free sch dist",NA,"New York",NA,NA,278,2013,7094,173,986,5935,7012,3298,2095,127,45,NA
"10080","green island union free sch dist",NA,"New York",NA,NA,282,2013,6387,149,3177,3061,5822,3533,1898,41,34,NA
"10081","guilderland central school district","13080","New York","Albany County","36_001",4925,2013,89462,1980,26900,60582,85165,54001,26793,1382,1484," 36,979 "
"10082","voorheesville central sch",NA,"New York",NA,NA,1171,2013,22221,442,6901,14878,21288,13168,6703,538,427,NA
"10083","watervliet city sch dist",NA,"New York",NA,NA,1397,2013,24774,1822,16650,6302,25169,15232,6722,1035,1446,NA
"10084","albany city school dist",NA,"New York",NA,NA,8157,2013,227431,24788,90225,112418,222502,144453,58192,5210,6802,NA
"10085","alfred-almond central sch dist 1",NA,"New York",NA,NA,670,2013,11732,425,7247,4060,11377,6575,3038,298,1046,NA
"10086","andover central sch dist",NA,"New York",NA,NA,317,2013,8036,473,5449,2114,7183,4092,2365,367,137,NA
"10087","angelica-belmont central school district",NA,"New York",NA,NA,595,2013,13851,770,10496,2585,13446,6640,4059,563,1318,NA
"10088","belfast central sch dist",NA,"New York",NA,NA,366,2013,8895,703,6798,1394,8195,4784,2443,261,129,NA
"10089","bolivar-richburg central school district","00012","New York","Allegany County","36_003",837,2013,17803,917,14582,2304,15208,8733,4846,473,391," 6,833 "
"10090","canaseraga central sch dist",NA,"New York",NA,NA,248,2013,6600,360,4614,1626,6534,3428,2198,152,582,NA
"10091","cuba-rushford school district",NA,"New York",NA,NA,857,2013,19584,785,13293,5506,24643,10890,6612,409,6449,NA
"10092","friendship central sch dist",NA,"New York",NA,NA,374,2013,9328,709,7111,1508,8035,4846,2386,247,53,NA
"10093","fillmore central sch dist",NA,"New York",NA,NA,707,2013,14275,1010,10918,2347,12874,7887,3794,219,389,NA
"10094","whitesville central sch dist",NA,"New York",NA,NA,270,2013,6309,282,4742,1285,5412,3147,1696,174,66,NA
"10095","scio central sch dist 1",NA,"New York",NA,NA,374,2013,9683,454,7438,1791,9184,5338,3152,261,175,NA
"10096","wellsville ctl sch dist",NA,"New York",NA,NA,1283,2013,27261,1197,19076,6988,24612,13342,6842,812,2174,NA
"10097","chenango forks central sch dist",NA,"New York",NA,NA,1572,2013,28710,1085,18039,9586,27515,15552,9726,704,691,NA
"10098","binghamton city sch dist",NA,"New York",NA,NA,5824,2013,116013,15370,61586,39057,112684,67345,27421,5006,9176,NA
"10099","harpursville central sch dist",NA,"New York",NA,NA,851,2013,17225,1001,12473,3751,18444,11933,4586,565,1243,NA
"10100","susquehanna val ctl sch",NA,"New York",NA,NA,1600,2013,35182,1410,19304,14468,35997,20531,10113,876,3263,NA
"10101","chenango valley central school dist",NA,"New York",NA,NA,1799,2013,34305,1455,16628,16222,30631,19354,9803,738,147,NA
"10102","south mountain-hickory common school dist",NA,"New York",NA,NA,0,2013,349,0,27,322,267,0,4,0,0,NA
"10103","union-endicott ctl sch dist",NA,"New York",NA,NA,3929,2013,74950,3793,36018,35139,67758,42641,20410,1656,1393,NA
"10104","johnson city ctl school dist",NA,"New York",NA,NA,2536,2013,51607,2942,24898,23767,45596,28143,14008,1276,623,NA
"10105","maine endwell central sch dist",NA,"New York",NA,NA,2508,2013,46432,1553,25226,19653,44643,27764,13518,1019,488,NA
"10106","deposit central school dist",NA,"New York",NA,NA,590,2013,14534,801,6350,7383,17278,8286,4351,398,3956,NA
"10107","whitney pt ctl sch dist",NA,"New York",NA,NA,1470,2013,31234,1699,22676,6859,34107,17321,8295,1125,5471,NA
"10108","vestal central sch dist",NA,"New York",NA,NA,3447,2013,69960,1804,27371,40785,64379,41338,18960,1130,1097,NA
"10109","windsor central sch dist",NA,"New York",NA,NA,1791,2013,34176,1405,20194,12577,31607,19674,9271,899,638,NA
"10110","allegany-limestone csd",NA,"New York",NA,NA,1187,2013,21836,820,14209,6807,20078,11900,6470,441,417,NA
"10111","west valley central sch dist 4",NA,"New York",NA,NA,329,2013,8342,263,4991,3088,7412,4187,2866,119,75,NA
"10112","ellicottville cent sch",NA,"New York",NA,NA,598,2013,10416,234,3990,6192,10248,6382,3356,288,73,NA
"10113","franklinville central sch dist 1",NA,"New York",NA,NA,725,2013,19378,1026,14523,3829,16679,9362,5810,444,739,NA
"10114","hinsdale central sch dist",NA,"New York",NA,NA,425,2013,8922,454,6775,1693,9132,4813,2933,222,964,NA
"10115","olean city sch dist",NA,"New York",NA,NA,2221,2013,39708,3046,24545,12117,37001,23768,9613,1042,1544,NA
"10116","gowanda central sch dist",NA,"New York",NA,NA,1260,2013,28113,1381,21699,5033,26410,15659,8446,745,933,NA
"10117","portville central sch dist",NA,"New York",NA,NA,992,2013,16460,747,11535,4178,14957,8457,5221,374,499,NA
"10118","randolph central school dist",NA,"New York",NA,NA,953,2013,18314,1236,12497,4581,17142,9944,5479,497,759,NA
"10119","salamanca city sch dist",NA,"New York",NA,NA,1322,2013,29831,2036,24417,3378,24460,14214,7276,657,695,NA
"10120","yorkshire-pioneer ctl sch dist",NA,"New York",NA,NA,2519,2013,48699,2990,34110,11599,47380,27483,15058,2166,1333,NA
"10121","cattaraugus-little valley consolidated school district",NA,"New York",NA,NA,966,2013,22975,889,17207,4879,22972,11540,6562,390,2410,NA
"10122","auburn city sch dist",NA,"New York",NA,NA,4261,2013,71097,5276,38408,27413,70340,43544,17134,1671,6268,NA
"10123","weedsport central sch",NA,"New York",NA,NA,850,2013,16926,517,9759,6650,15870,9519,4361,450,908,NA
"10124","cato-meridian central sch dist",NA,"New York",NA,NA,1072,2013,18615,625,12735,5255,17349,9763,5785,595,490,NA
"10125","port byron ctl sch dist",NA,"New York",NA,NA,1004,2013,19144,1018,13099,5027,21520,11020,5409,418,4306,NA
