Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
08,043,"Fremont County, CO"," 5,675 "
08,045,"Garfield County, CO"," 4,774 "
08,047,"Gilpin County, CO", 433 
08,049,"Grand County, CO", 560 
08,051,"Gunnison County, CO"," 1,004 "
08,053,"Hinsdale County, CO", 19 
08,055,"Huerfano County, CO"," 1,501 "
08,057,"Jackson County, CO", 140 
08,059,"Jefferson County, CO"," 33,228 "
08,061,"Kiowa County, CO", 112 
08,063,"Kit Carson County, CO", 606 
08,065,"Lake County, CO", 627 
08,067,"La Plata County, CO"," 3,791 "
08,069,"Larimer County, CO"," 23,058 "
08,071,"Las Animas County, CO"," 2,652 "
08,073,"Lincoln County, CO", 557 
08,075,"Logan County, CO"," 2,200 "
08,077,"Mesa County, CO"," 17,326 "
08,079,"Mineral County, CO", 18 
08,081,"Moffat County, CO"," 1,535 "
08,083,"Montezuma County, CO"," 3,353 "
08,085,"Montrose County, CO"," 5,232 "
08,087,"Morgan County, CO"," 3,007 "
08,089,"Otero County, CO"," 3,939 "
08,091,"Ouray County, CO", 250 
08,093,"Park County, CO"," 1,213 "
08,095,"Phillips County, CO", 407 
08,097,"Pitkin County, CO", 274 
08,099,"Prowers County, CO"," 2,653 "
08,101,"Pueblo County, CO"," 35,591 "
08,103,"Rio Blanco County, CO", 527 
08,105,"Rio Grande County, CO"," 2,323 "
08,107,"Routt County, CO", 938 
08,109,"Saguache County, CO"," 1,420 "
08,111,"San Juan County, CO", 59 
08,113,"San Miguel County, CO", 374 
08,115,"Sedgwick County, CO", 280 
08,117,"Summit County, CO"," 1,103 "
08,119,"Teller County, CO"," 2,170 "
08,121,"Washington County, CO", 314 
08,123,"Weld County, CO"," 25,535 "
08,125,"Yuma County, CO"," 1,014 "
09,000,Connecticut," 436,118 "
09,001,"Fairfield County, CT"," 81,307 "
09,003,"Hartford County, CT"," 136,729 "
09,005,"Litchfield County, CT"," 13,717 "
09,007,"Middlesex County, CT"," 11,377 "
09,009,"New Haven County, CT"," 131,759 "
09,011,"New London County, CT"," 34,576 "
09,013,"Tolland County, CT"," 8,455 "
09,015,"Windham County, CT"," 18,199 "
10,000,Delaware," 151,017 "
10,001,"Kent County, DE"," 35,811 "
10,003,"New Castle County, DE"," 80,489 "
10,005,"Sussex County, DE"," 34,717 "
11,000,District of Columbia," 143,182 "
