leaid,year,fips,district_id,district_name,est_population_total,est_population_5_17,est_population_5_17_poverty,est_population_5_17_poverty_pct,est_population_5_17_pct
500042,2013,5,42,Hamburg School District,9267,1650,640,0.38787878,0.17805114
507230,2013,5,7230,Hampton School District,3966,519,141,0.2716763,0.13086233
507290,2013,5,7290,Harmony Grove School District,5103,938,273,0.29104477,0.18381344
507320,2013,5,7320,Harmony Grove School District,6011,1129,232,0.20549159,0.18782233
507350,2013,5,7350,Harrisburg School District,7075,1265,361,0.2853755,0.17879859
507380,2013,5,7380,Harrison School District,21371,3436,745,0.21682188,0.16077863
507410,2013,5,7410,Hartford School District,3209,566,187,0.3303887,0.17637894
507530,2013,5,7530,Hazen School District,4783,757,201,0.2655218,0.15826887
507560,2013,5,7560,Heber Springs School District,11852,1726,497,0.28794903,0.14562944
507620,2013,5,7620,Hector School District,3673,653,134,0.20520674,0.17778383
507680,2013,5,7680,Helena-West Helena School District,13436,2681,1424,0.5311451,0.19953856
507710,2013,5,7710,Hermitage School District,2758,483,169,0.3498965,0.17512691
507770,2013,5,7770,Highland School District,12336,1714,599,0.3494749,0.13894293
500071,2013,5,71,Hillcrest School District,3735,693,148,0.21356422,0.18554217
507840,2013,5,7840,Hope School District,15754,3032,1066,0.35158312,0.19245906
507860,2013,5,7860,Horatio School District,4067,865,232,0.2682081,0.21268748
507890,2013,5,7890,Hot Springs School District,30609,4000,1681,0.42025,0.13068052
507990,2013,5,7990,Hoxie School District,3824,692,226,0.32658958,0.18096234
508010,2013,5,8010,Hughes School District,3048,520,266,0.51153845,0.17060368
508130,2013,5,8130,Huntsville School District,14557,2545,750,0.29469547,0.17482997
500021,2013,5,21,Izard Cty Consolidated Schools,4715,582,160,0.2749141,0.12343584
513230,2013,5,13230,Jackson County School District,4512,756,221,0.29232803,0.16755319
508240,2013,5,8240,Jasper School District,5792,918,317,0.3453159,0.15849447
507920,2013,5,7920,Jessieville School District,7168,783,199,0.2541507,0.10923549
508280,2013,5,8280,Jonesboro Public Schools,37633,6357,2266,0.35645744,0.16892089
508340,2013,5,8340,Junction City School District,3057,528,134,0.25378788,0.17271835
508490,2013,5,8490,Kirby School District,2881,544,175,0.3216912,0.18882333
500065,2013,5,65,Lafayette County School District,5457,900,298,0.3311111,0.16492578
508610,2013,5,8610,Lake Hamilton School District,24914,4455,1219,0.27362514,0.17881513
508640,2013,5,8640,Lakeside School District,8533,1468,668,0.45504087,0.17203797
