,STATE,Abbe,ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,,Alabama,AL
45749,Alabama,AL,2307,TALLADEGA CITY SCHOOL DISTRICT,2013,22265,3040,14248,4977,21629,12090,7104,1981,429,,,
45750,Alabama,AL,7578,TALLADEGA COUNTY SCHOOL DISTRICT,2013,70567,8717,39867,21983,73145,35803,26858,6446,1783,,,
45751,Alabama,AL,2979,TALLAPOOSA COUNTY SCHOOL DISTRICT,2013,26895,3585,14062,9248,27911,14809,8712,2567,1229,,,
45752,Alabama,AL,3174,ALEXANDER CITY SCHOOL DISTRICT,2013,28725,3154,16154,9417,27325,15533,8700,2216,465,,,
45753,Alabama,AL,10142,TUSCALOOSA CITY SCHOOL DISTRICT,2013,131686,16420,46740,68526,144326,57795,40018,8231,31169,,,
45754,Alabama,AL,17763,TUSCALOOSA COUNTY SCHOOL DISTRICT,2013,170388,14101,93275,63012,185132,79399,49045,14836,39791,,,
45755,Alabama,AL,2745,JASPER CITY SCHOOL DISTRICT,2013,27976,2250,14218,11508,28058,15795,9982,1940,212,,,
45756,Alabama,AL,8131,WALKER COUNTY SCHOOL DISTRICT,2013,75160,9437,43317,22406,76258,40109,25347,5901,3664,,,
45757,Alabama,AL,3207,WASHINGTON COUNTY SCHOOL DISTRICT,2013,29127,3603,17345,8179,28298,16127,8753,2959,314,,,
45758,Alabama,AL,1901,WILCOX COUNTY SCHOOL DISTRICT,2013,19590,4218,11230,4142,20111,9021,7667,1865,804,,,
45759,Alabama,AL,2643,WINSTON COUNTY SCHOOL DISTRICT,2013,26249,2825,15322,8102,25879,12124,9643,2563,1240,,,
45760,Alabama,AL,1694,HALEYVILLE CITY SCHOOL DISTRICT,2013,16183,1950,9657,4576,15830,9130,4429,1615,135,,,
45761,Alaska,AK,370,ALASKA GATEWAY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,11272,1749,9451,72,11948,5640,5428,635,245,,,
45762,Alaska,AK,27,ALEUTIAN REGION SCHOOL DISTRICT,2013,1610,101,1467,42,1763,890,855,17,1,,,
45763,Alaska,AK,379,KUSPUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,12117,3642,8068,407,11018,5852,4227,550,389,,,
45764,Alaska,AK,441,YUPIIT SCHOOLS,2013,15610,6768,8446,396,17994,9009,7619,1103,263,,,
45765,Alaska,AK,587,SOUTHWEST REGION SCHOOLS,2013,24328,6692,17084,552,25163,8005,10475,1292,5391,,,
45766,Alaska,AK,198,SOUTHEAST ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,8129,897,7002,230,8514,3342,3451,417,1304,,,
45767,Alaska,AK,1867,BERING STRAIT REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,81346,24838,54285,2223,81663,39486,21906,2890,17381,,,
45768,Alaska,AK,144,CHATHAM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,4663,835,3760,68,5024,2394,2212,158,260,,,
45769,Alaska,AK,4143,LOWER KUSKOKWIM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,160105,34650,123240,2215,178068,54785,64603,6041,52639,,,
45770,Alaska,AK,848,DELTA-GREELY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,17888,1775,15942,171,18125,8277,6559,443,2846,,,
45771,Alaska,AK,310,CHUGACH REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,7976,1983,4364,1629,7766,4944,1622,15,1185,,,
45772,Alaska,AK,492,COPPER RIVER REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,10078,1019,8981,78,10239,4636,4859,171,573,,,
45773,Alaska,AK,1983,LOWER YUKON REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,87384,19741,66640,1003,84818,25294,27205,4830,27489,,,
45774,Alaska,AK,307,KASHUNAMIUT SCHOOL DISTRICT,2013,8746,3939,4391,416,8867,3661,4091,1048,67,,,
45775,Alaska,AK,246,IDITAROD REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,8085,998,6832,255,9190,4133,4408,353,296,,,
45776,Alaska,AK,258,YUKON FLATS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,11602,2181,9236,185,13324,5386,6412,394,1132,,,
45777,Alaska,AK,1474,YUKON-KOYUKUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,25118,5447,19002,669,25968,12606,8540,629,4193,,,
45778,Alaska,AK,292,ANNETTE ISLAND REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,9166,4499,4547,120,9922,4662,2692,393,2175,,,
45779,Alaska,AK,106,PRIBILOF ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2013,3088,796,1870,422,3555,1235,1911,387,22,,,
45780,Alaska,AK,151,BRISTOL BAY BOROUGH SCHOOL DISTRICT,2013,5909,888,3135,1886,6213,2739,2241,212,1021,,,
45781,Alaska,AK,14378,FAIRBANKS N STAR BOROUGH SCHOOL DISTRICT,2013,254396,31170,172479,50747,260134,146734,101671,5384,645,,,
45782,Alaska,AK,283,HAINES BOROUGH SCHOOL DISTRICT,2013,6934,467,4565,1902,7238,4173,2184,399,481,,,
45783,Alaska,AK,9014,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,2013,162642,8610,109759,44273,166217,95225,61487,4234,3336,,,
45784,Alaska,AK,2247,KETCHIKAN-GATEWAY BOROUGH SCHOOL DISTRICT,2013,41131,2755,29073,9303,41653,23997,14608,883,915,,,
45785,Alaska,AK,2001,NORTHWEST ARCTIC BOROUGH SCHOOLS,2013,84582,13700,51073,19809,86447,27414,29993,3788,23102,,,
45786,Alaska,AK,2548,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,2013,52613,5799,36222,10592,53631,26795,22657,1525,1054,,,
45787,Alaska,AK,17484,MATANUSKA SUSITNA BOROUGH SCHOOL DISTRICT,2013,270675,19653,198826,52196,303670,153678,107224,6154,36606,,,
45788,Alaska,AK,1939,NORTH SLOPE BOROUGH SCHOOLS,2013,73976,9601,25697,38678,74903,31484,35266,5926,2147,,,
45789,Alaska,AK,458,PETERSBURG CITY SCHOOL DISTRICT,2013,10114,604,7560,1950,10440,5577,3845,274,344,,,
45790,Alaska,AK,257,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,2013,8877,1311,6113,1453,9514,4914,4141,348,110,,,
45791,Alaska,AK,386,LAKE AND PENINSULA BOROUGH SCHOOLS,2013,16259,3671,11135,1453,16110,7446,7615,689,210,,,
45792,Alaska,AK,859,DENALI BOROUGH SCHOOL DISTRICT,2013,10405,236,7839,2330,9931,5647,4030,14,240,,,
45793,Alaska,AK,93,YAKUTAT SCHOOL DISTRICT,2013,3140,347,1990,803,3264,1943,1093,191,37,,,
45794,Alaska,AK,92,SKAGWAY SCHOOL DISTRICT,2013,2952,46,926,1980,2415,1279,1035,67,34,,,
45795,Alaska,AK,416,UNALASKA CITY SCHOOL DISTRICT,2013,10805,332,6052,4421,11077,5781,3256,1501,289,,,
45796,Alaska,AK,48790,ANCHORAGE SCHOOL DISTRICT,2013,770180,76535,487629,206016,788049,439272,294106,22443,32205,,,
45797,Alaska,AK,534,DILLINGHAM CITY SCHOOL DISTRICT,2013,13480,1833,9512,2135,13894,7604,5014,957,318,,,
45798,Alaska,AK,5066,JUNEAU BOROUGH SCHOOL DISTRICT,2013,89697,4847,57759,27091,114140,52726,33024,2744,20646,,,
45799,Alaska,AK,692,NOME CITY SCHOOL DISTRICT,2013,15197,1298,11268,2631,15544,7407,7516,455,1,,,
45800,Alaska,AK,636,CRAIG CITY SCHOOL DISTRICT,2013,9498,2023,6462,1013,9289,4187,4785,317,0,,,
45801,Alaska,AK,53,HYDABURG CITY SCHOOL DISTRICT,2013,1929,362,1354,213,2305,1084,1120,98,3,,,
45802,Alaska,AK,133,KLAWOCK CITY SCHOOL DISTRICT,2013,5424,1030,3714,680,5270,2687,1485,181,917,,,
45803,Alaska,AK,1321,SITKA BOROUGH SCHOOLS,2013,26854,2552,18242,6060,29111,17174,7806,1626,645,,,
45804,Alaska,AK,116,HOONAH CITY SCHOOL DISTRICT,2013,6823,1036,4702,1085,7090,2312,1462,787,2513,,,
45805,Alaska,AK,17,PELICAN CITY SCHOOL DISTRICT,2013,604,37,504,63,516,191,308,0,17,,,
